Time,Axis_1,Axis_2,Axis_3,Axis_4,Axis_5,Axis_6,Axis_7,Axis_8
46385.269,0.20847,4.42804,5.90406,0.10324,1.29047,0.30971,0.57236,1.31454
46387.237,0.20847,4.05904,7.16921,0.0,1.72923,15.6663,0.57236,0.13734
46389.135,0.28665,4.00633,6.90564,0.74847,0.74847,0.77428,0.57236,0.13734
46390.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46392.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46394.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46396.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46398.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46400.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46402.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46403.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46405.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46407.718,0.443,5.42963,3.00474,0.80009,0.74847,9.75595,0.09539,0.15696
46409.582,6.67106,15.6563,4.11176,9.67852,1.26466,8.87843,0.47697,0.1962
46411.501,1.30294,10.12124,0.21086,0.61943,5.11026,0.18067,8.09655,0.1962
46413.373,0.52118,11.64997,3.2156,2.27123,2.86484,5.13607,1.40706,0.1962
46415.254,0.59935,10.54296,3.00474,0.46457,4.49084,0.05162,8.10848,0.23544
46417.243,0.62541,6.37849,6.37849,4.02627,5.08445,0.18067,0.0477,0.25506
46419.186,0.23453,1.63416,6.11492,1.08399,0.92914,2.52932,0.48889,0.25506
46421.15,0.65147,2.00316,0.52715,0.12905,0.72266,0.92914,8.09655,0.25506
46426.686,3.544,2.10859,11.3864,2.06475,0.43876,0.12905,7.46457,0.23544
46428.568,0.36482,11.22826,6.16763,0.67104,2.01313,2.32285,2.50409,0.21582
46430.506,0.15635,11.0174,6.85293,2.37446,1.62599,0.18067,1.9675,0.21582
46432.472,1.56353,10.85925,19.97891,6.68463,3.92303,3.25198,0.59621,0.21582
46434.404,4.45606,4.53347,6.27306,0.69685,1.29047,0.64523,3.55342,3.25693
46436.359,3.59612,7.59093,10.38482,0.10324,1.39371,0.07743,0.25041,0.2943
46438.295,0.28665,4.16447,6.80021,0.80009,0.77428,0.8259,0.66776,0.1962
46440.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46441.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46443.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46445.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46447.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46449.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46451.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46453.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46455.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46457.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46458.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46460.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46462.648,0.0,0.0,5.85134,0.74847,0.8259,0.43876,0.0,0.15696
46464.535,5.26388,0.63258,14.49657,3.5617,4.10369,1.00657,0.11924,0.11772
46466.453,4.01306,20.66421,16.76331,4.54245,1.85828,1.88409,0.10732,0.0981
46468.358,1.22477,7.69636,10.3321,2.42608,5.85873,0.46457,8.09655,0.0981
46470.177,0.15635,11.64997,3.9009,1.21304,3.97465,1.31628,1.09703,0.0981
46472.175,0.15635,11.33368,0.79072,0.25809,8.33644,0.72266,0.22656,0.0981
46474.174,3.04888,0.31629,11.43911,0.36133,2.60675,12.6208,0.31003,0.0981
46476.081,2.52771,19.66263,7.95994,1.62599,1.41952,0.56781,1.12088,0.0981
46478.061,0.54724,7.85451,7.01107,1.13561,0.07743,0.51619,8.08463,0.11772
46479.997,0.49512,11.12283,7.06379,0.05162,0.23228,0.2839,1.84826,0.11772
46481.864,0.72965,7.85451,10.75382,4.54245,5.91035,0.69685,0.02385,0.0981
46483.77,2.60588,3.9009,1.37059,0.98076,0.2839,0.05162,7.50034,0.11772
46485.7,6.87953,10.27939,21.77122,2.86484,0.20648,0.2839,7.51226,0.0981
46491.312,0.13029,4.48076,6.00949,0.18067,1.52275,1.23885,0.45312,1.31454
46493.265,0.13029,4.00633,16.13073,4.64569,1.62599,4.80055,0.72738,0.17658
46495.203,0.20847,3.95361,6.80021,0.67104,0.77428,0.74847,0.0,0.0
46497.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46499.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46500.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46502.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46504.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46506.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46508.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46510.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46512.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46514.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46515.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46517.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46519.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46521.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46523.523,0.0,0.0,0.0,0.0,0.80009,0.72266,0.01192,0.17658
46525.421,2.39741,1.7923,10.54296,2.14218,8.20739,1.18723,0.09539,0.13734
46527.285,3.75247,24.35424,9.85767,5.85873,1.6518,1.05819,0.3458,0.13734
46529.233,0.91206,7.32736,10.59568,3.94884,5.91035,0.18067,8.09655,0.13734
46531.099,0.13029,11.49183,3.79547,1.44533,4.10369,1.88409,0.53659,0.11772
46533.007,0.31271,12.33527,1.21244,1.44533,9.70433,2.86484,0.22656,0.11772
46534.864,7.29647,0.47443,11.64997,0.542,4.31017,0.98076,0.28618,0.11772
46536.771,10.7623,7.64365,9.17238,0.36133,1.72923,1.39371,0.25041,0.13734
46538.709,0.26059,26.14655,10.06853,2.37446,1.62599,0.61943,0.89432,0.13734
